year,year_violence_grade
1950,3173
1951,2828
1952,2790
1953,2876
1954,2863
1955,2879
1956,2726
1957,2832
1958,2915
1959,2221
1960,1827
1961,1796
1962,1764
1963,1604
1964,1808
1965,1844
1966,1943
1967,1948
1968,2371
1969,2053
1970,2248
1971,2183
1972,2467
1973,2779
1974,2537
1975,2055
1976,2250
1977,2001
1978,2010
1979,1796
1980,2007
1981,2044
1982,2091
1983,1920
1984,2501
1985,2777
1986,2685
1987,2537
1988,2563
1989,2544
1990,2690
1991,2421
1992,2101
1993,2140
1994,2214
1995,1698
1996,1457
1997,1227
1998,1174
1999,1193
2000,1249
2001,1329
2002,1462
2003,1650
2004,1618
2005,1511
2006,1424
2007,1717
2008,1875
2009,1852
2010,1989
2011,2256
2012,2094
2013,2149
2014,2188
2015,2180
2016,2204
2017,1942
2018,1951
2019,2015
